player_id,player_name,games_played,recent_minutes_last_5,recent_games_last_5,avg_minutes_per_game_last_5,times_unavailable_last_10,max_consecutive_unavailable,total_minutes_last_10,games_started_last_10,workload_trend
635,Rodrigo Martins Gomes,15,0,0,0.0,8,6,166,2,decreasing
636,Santiago Ignacio Bueno,15,90,1,18.0,4,4,540,6,decreasing
637,Toti Gomes,15,429,5,85.8,3,3,475,5,increasing
638,Ki-Jana Hoever,15,94,2,18.8,5,5,237,2,decreasing
639,Bastien Meupiyou Menadjou,15,0,0,0.0,10,15,0,0,stable
640,Pedro Cardoso de Lima,15,0,0,0.0,10,15,0,0,stable
641,Alfie Pond,15,0,0,0.0,10,15,0,0,stable
642,Hwang Hee-chan,15,116,3,23.2,4,1,242,1,stable
643,André Trindade da Costa Neto,15,450,5,90.0,0,0,801,9,stable
644,Jean-Ricner Bellegarde,15,280,5,56.0,1,1,473,5,increasing
645,Fer López González,15,36,1,7.2,8,6,50,0,increasing
646,João Victor Gomes da Silva,15,354,4,70.8,1,1,649,7,stable
647,Gonçalo Manuel Ganchinho Guedes,15,0,0,0.0,10,15,0,0,stable
648,Marshall Munetsi,15,90,3,18.0,2,1,533,6,decreasing
649,Boubacar Traoré,15,0,0,0.0,10,15,0,0,stable
650,Tawanda Chirewa,15,21,1,4.2,9,12,21,0,increasing
651,Tom Edozie,15,0,0,0.0,10,15,0,0,stable
652,Enso González Medina,15,0,0,0.0,10,15,0,0,stable
653,Joe Hodge,15,0,0,0.0,10,15,0,0,stable
654,Jørgen Strand Larsen,15,428,5,85.6,0,2,842,10,stable
655,Fábio Soares Silva,15,0,0,0.0,10,15,0,0,stable
656,Saša Kalajdžić,15,0,0,0.0,10,12,0,0,stable
657,Leon Chiwome,15,0,0,0.0,10,15,0,0,stable
658,Nathan Fraser,15,0,0,0.0,10,15,0,0,stable
663,Jhon Arias,15,251,4,50.2,1,1,619,7,decreasing
682,David Møller Wolfe,15,343,4,68.6,4,3,361,4,increasing
695,Jackson Tchatchoua,14,354,5,70.8,0,0,561,5,increasing
709,Ladislav Krejcí,13,254,3,50.8,2,2,704,8,decreasing
720,Tolu Arokodare,12,97,4,19.4,1,1,150,1,increasing
749,Mateus Mané,5,62,4,12.4,1,1,62,0,insufficient_data
