id,name,full_name,team,position,total_minutes,games_played,total_points,recent_minutes,recent_games,minutes_per_recent_game,times_unavailable_last_10,estimated_injury_count,goals,assists,yellow_cards,red_cards,chance_of_playing,news,status,form,influence,creativity,threat,ict_index,selected_by_percent,estimated_age
488,Bruno G.,Bruno Guimarães Rodriguez Moura,Newcastle,3,1209,13,81,404,5,80.8,0,0,5,4,3,0,100,,a,7.8,348.4,296.6,159.0,80.4,13.0,26
489,J.Murphy,Jacob Murphy,Newcastle,3,721,9,41,231,3,77.0,2,0,2,1,0,0,100,,a,1.2,174.0,204.5,245.0,62.3,1.0,26
490,Joelinton,Joelinton Cássio Apolinário de Lira,Newcastle,3,935,12,31,309,5,61.8,0,0,0,0,3,0,100,,a,2.5,100.8,122.1,126.0,35.0,0.3,26
491,Tonali,Sandro Tonali,Newcastle,3,1006,12,39,213,5,42.6,0,0,0,1,0,0,100,,a,1.8,174.4,253.9,96.0,52.5,1.0,26
492,Antoñito C.,Antoñito Cordero Campillo,Newcastle,3,0,0,0,0,0,0.0,10,15,0,0,0,0,100,has joined KVC Westerlo on loan for the rest of the season.,u,0.0,0.0,0.0,0.0,0.0,0.0,21
494,Willock,Joe Willock,Newcastle,3,185,2,10,99,4,24.75,6,0,0,0,0,0,100,,a,1.2,25.6,32.7,15.0,7.2,0.1,21
495,Hayden,Isaac Hayden,Newcastle,3,0,0,0,0,0,0.0,10,15,0,0,0,0,100,Has departed the club as a free agent.,u,0.0,0.0,0.0,0.0,0.0,0.0,21
496,Kuol,Garang Kuol,Newcastle,3,0,0,0,0,0,0.0,10,15,0,0,0,0,100,has joined Sparta Prague permanently.,u,0.0,0.0,0.0,0.0,0.0,0.0,21
497,L.Miley,Lewis Miley,Newcastle,3,480,4,32,208,4,52.0,3,0,1,2,0,0,100,,a,4.5,133.6,118.8,67.0,32.1,2.2,21
498,White,Joe White,Newcastle,3,0,0,0,0,0,0.0,10,15,0,0,0,0,100,Has joined Leyton Orient on loan for the rest of the season.,u,0.0,0.0,0.0,0.0,0.0,0.0,21
500,Osula,William Osula,Newcastle,4,213,1,18,0,0,0.0,5,5,1,1,0,0,100,Ankle injury - Unknown return date,i,0.0,41.2,14.2,68.0,12.1,0.2,21
501,Neave,Sean Neave,Newcastle,4,0,0,0,0,0,0.0,10,0,0,0,0,0,100,,a,0.0,0.0,0.0,0.0,0.0,0.2,21
674,Ramsdale,Aaron Ramsdale,Newcastle,1,283,3,5,283,4,70.75,6,0,0,0,0,0,100,,a,1.2,38.0,0.0,0.0,3.8,1.0,23
684,Thiaw,Malick Thiaw,Newcastle,2,992,11,49,450,5,90.0,0,0,2,0,1,0,100,,a,5.8,290.4,24.8,138.0,45.4,2.8,27
689,Seung soo,Seung-Soo Park,Newcastle,3,0,0,0,0,0,0.0,10,0,0,0,0,0,100,,a,0.0,0.0,0.0,0.0,0.0,0.2,21
714,Woltemade,Nick Woltemade,Newcastle,4,949,12,56,426,5,85.2,0,0,5,2,0,0,100,,a,4.0,240.0,126.9,263.0,63.4,23.0,26
753,Ruddy,John Ruddy,Newcastle,1,0,0,0,0,0,0.0,4,0,0,0,0,0,100,,a,0.0,0.0,0.0,0.0,0.0,0.0,23
12,Zinchenko,Oleksandr Zinchenko,Nott'm Forest,2,253,3,5,0,0,0.0,8,0,0,0,0,0,25,Lack of match fitness - 25% chance of playing,d,0.0,62.6,52.4,15.0,13.0,0.2,22
426,McAtee,James McAtee,Nott'm Forest,3,131,1,5,5,1,5.0,8,0,0,0,0,0,100,,a,0.2,14.2,41.5,8.0,6.5,0.1,21
502,Sels,Matz Sels,Nott'm Forest,1,1350,15,40,450,5,90.0,0,0,0,0,1,0,100,,a,4.2,353.8,10.0,0.0,36.4,7.5,28
503,C.Miguel,Carlos Miguel dos Santos Pereira,Nott'm Forest,1,0,0,0,0,0,0.0,10,15,0,0,0,0,100,Has joined Palmeiras permanently.,u,0.0,0.0,0.0,0.0,0.0,0.1,23
504,Turner,Matt Turner,Nott'm Forest,1,0,0,0,0,0,0.0,10,15,0,0,0,0,100,Has joined Lyon permanently.,u,0.0,0.0,0.0,0.0,0.0,0.1,23
505,Milenković,Nikola Milenković,Nott'm Forest,2,1350,15,34,450,5,90.0,0,0,0,0,3,0,100,,a,3.8,259.2,29.2,69.0,35.9,3.6,27
506,Murillo,Murillo Costa dos Santos,Nott'm Forest,2,739,9,30,180,2,90.0,5,0,1,0,2,0,75,Hamstring injury - 75% chance of playing,d,4.2,217.6,26.1,34.0,27.8,1.9,27
507,Aina,Ola Aina,Nott'm Forest,2,270,3,6,0,0,0.0,10,12,0,0,1,0,100,Hamstring injury - Expected back 22 Dec,i,0.0,53.8,33.3,11.0,9.8,2.1,22
