id,code,web_name,first_name,second_name,full_name,team_id,team_name,team_short_name,team_strength,position_id,position,status,status_description,chance_of_playing_next,chance_of_playing_this,news,news_added,minutes,starts,expected_starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,saves,yellow_cards,red_cards,influence,creativity,threat,ict_index,now_cost,selected_by_percent,in_dreamteam,fetch_date,current_gameweek,games_played,recent_minutes_last_5,recent_games_last_5,avg_minutes_per_game_last_5,times_unavailable_last_10,max_consecutive_unavailable,total_minutes_last_10,games_started_last_10,workload_trend,total_upcoming_fixtures,next_5_fixtures_count,avg_days_between_fixtures,congestion_level,home_fixtures_upcoming,away_fixtures_upcoming
45,514315,Sousa,Lino,da Cruz Sousa,Lino da Cruz Sousa,2,Aston Villa,AVL,3,2,DEF,a,Available,100.0,100.0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.9,0.3,False,2025-12-10 15:30:26,15,15,0,0,0.0,10,15,0,0,stable,23,5,12.5,Low,11,12
46,587178,Yasin,Yasin,Özcan,Yasin Özcan,2,Aston Villa,AVL,3,2,DEF,u,Unavailable,0.0,0.0,has joined Anderlecht on loan for the rest of the season.,2025-09-22T21:15:59.805053Z,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.0,0.1,False,2025-12-10 15:30:26,15,15,0,0,0.0,10,15,0,0,stable,23,5,12.5,Low,11,12
47,244850,Rogers,Morgan,Rogers,Morgan Rogers,2,Aston Villa,AVL,3,3,MID,a,Available,100.0,100.0,,2025-08-10T22:00:04.458365Z,1336,15,2.5,3,3,5,15,0,0,0,0,2,0,266.4,248.0,272.0,78.5,7.0,10.2,False,2025-12-10 15:30:26,15,15,445,5,89.0,0,0,895,10,stable,23,5,12.5,Low,11,12
48,166989,Tielemans,Youri,Tielemans,Youri Tielemans,2,Aston Villa,AVL,3,3,MID,a,Available,100.0,100.0,,2025-09-14T22:00:07.795199Z,601,7,1.62,0,1,2,7,0,0,0,0,0,0,120.6,166.8,109.0,39.7,5.9,0.6,False,2025-12-10 15:30:26,15,15,286,5,57.2,5,6,286,3,increasing,23,5,12.5,Low,11,12
49,215711,Bailey,Leon,Bailey,Leon Bailey,2,Aston Villa,AVL,3,3,MID,u,Unavailable,0.0,0.0,Has joined AS Roma on loan for the rest of the season.,2025-08-20T13:31:56.843157Z,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.5,0.1,False,2025-12-10 15:30:26,15,15,0,0,0.0,10,15,0,0,stable,23,5,12.5,Low,11,12
50,195546,Buendía,Emiliano,Buendía Stati,Emiliano Buendía Stati,2,Aston Villa,AVL,3,3,MID,a,Available,100.0,100.0,,2025-10-31T00:00:08.522687Z,540,6,2.44,4,2,2,4,0,0,0,0,2,0,220.8,138.7,158.0,51.8,5.3,0.5,False,2025-12-10 15:30:26,15,15,175,5,35.0,1,1,310,1,stable,23,5,12.5,Low,11,12
51,469247,Iling Jr,Samuel,Iling-Junior,Samuel Iling-Junior,2,Aston Villa,AVL,3,3,MID,u,Unavailable,0.0,0.0,has joined West Bromwich Albion on loan for the rest of the season,2025-09-22T21:15:59.838578Z,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.5,0.0,False,2025-12-10 15:30:26,15,15,0,0,0.0,10,15,0,0,stable,23,5,12.5,Low,11,12
53,204646,Malen,Donyell,Malen,Donyell Malen,2,Aston Villa,AVL,3,3,MID,a,Available,100.0,100.0,,,488,4,3.48,4,1,1,7,0,0,0,0,0,0,172.0,74.0,228.0,46.4,5.1,1.0,False,2025-12-10 15:30:26,15,15,165,5,33.0,0,0,350,3,stable,23,5,12.5,Low,11,12
54,122806,McGinn,John,McGinn,John McGinn,2,Aston Villa,AVL,3,3,MID,a,Available,100.0,100.0,,,1144,15,2.42,1,1,6,12,0,0,0,0,3,0,177.8,292.7,91.0,56.4,5.4,0.7,False,2025-12-10 15:30:26,15,15,377,5,75.4,0,0,735,9,stable,23,5,12.5,Low,11,12
55,88894,Barkley,Ross,Barkley,Ross Barkley,2,Aston Villa,AVL,3,3,MID,i,Injured,0.0,0.0,Knee injury - Expected back 07 Feb,2025-11-30T22:30:09.043798Z,114,0,0.59,1,1,0,0,0,0,0,0,0,0,51.8,33.7,55.0,14.0,4.8,0.0,False,2025-12-10 15:30:26,15,15,53,3,10.6,3,6,114,0,stable,23,5,12.5,Low,11,12
